,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
Census Tract 707; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,740",774,155,48,0,148,10,10,0,818,233,44,49
    Margin of Error,±256,±197,±79,±40,±12,±82,±16,±16,±12,±182,±152,±32,±46
Census Tract 710; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,043",444,89,28,0,152,27,20,0,447,80,46,12
    Margin of Error,±105,±109,±57,±29,±12,±76,±25,±21,±12,±107,±51,±39,±18
Census Tract 711; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,131",296,42,16,0,205,61,14,0,630,146,96,15
    Margin of Error,±167,±86,±38,±23,±12,±79,±64,±22,±12,±179,±101,±94,±24
Census Tract 712; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,268",349,66,50,0,133,24,15,0,786,328,196,0
    Margin of Error,±134,±85,±49,±43,±12,±57,±27,±21,±12,±158,±124,±108,±12
Census Tract 713; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,113",452,43,14,0,722,124,108,188,939,210,125,0
    Margin of Error,±401,±133,±41,±22,±12,±359,±76,±71,±308,±230,±120,±106,±12
Census Tract 714; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,796",663,56,18,0,664,207,166,24,"1,469",715,349,31
    Margin of Error,±398,±275,±55,±30,±12,±165,±94,±83,±39,±352,±310,±199,±27
Census Tract 715; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,808",729,116,55,24,632,66,57,0,"2,447",489,230,116
    Margin of Error,±339,±235,±89,±67,±39,±255,±92,±90,±17,±403,±183,±147,±113
Census Tract 716; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,733,358,79,25,0,99,14,0,0,276,115,63,0
    Margin of Error,±80,±83,±40,±24,±12,±38,±15,±12,±12,±59,±58,±48,±12
Census Tract 717; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,663,228,73,59,0,170,33,15,17,265,85,3,4
    Margin of Error,±86,±48,±42,±39,±12,±47,±20,±15,±16,±69,±64,±5,±6
Census Tract 718; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,090",395,69,18,0,235,49,0,0,460,75,32,16
    Margin of Error,±159,±105,±47,±24,±12,±141,±73,±12,±12,±135,±46,±37,±24
Census Tract 801; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"4,314",728,295,206,20,"1,452",516,273,40,"2,134",829,271,157
    Margin of Error,±412,±225,±176,±129,±34,±317,±226,±185,±47,±402,±256,±125,±123
Census Tract 802.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,362",675,170,39,32,758,133,96,20,929,167,51,27
    Margin of Error,±344,±187,±112,±43,±40,±212,±65,±52,±31,±374,±97,±43,±33
Census Tract 802.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,838",801,242,106,0,393,53,25,0,"1,644",578,264,67
    Margin of Error,±250,±237,±121,±98,±12,±185,±32,±30,±12,±214,±213,±139,±64
Census Tract 803; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,238","1,077",368,56,0,282,35,18,12,"1,879",566,294,0
    Margin of Error,±281,±284,±178,±51,±17,±112,±40,±27,±20,±277,±231,±163,±17
Census Tract 804; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,273",606,88,68,0,187,60,60,0,"1,480",639,580,62
    Margin of Error,±383,±320,±73,±65,±17,±129,±79,±79,±17,±263,±246,±248,±55
Census Tract 810; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"5,415",508,210,0,0,160,0,0,0,"4,747","1,861",475,43
    Margin of Error,±542,±215,±170,±17,±17,±131,±17,±17,±17,±583,±564,±201,±51
Census Tract 811; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,809",364,229,111,0,202,67,34,0,"2,243",839,551,96
    Margin of Error,±352,±130,±116,±70,±12,±124,±59,±43,±12,±400,±319,±241,±99
Census Tract 812.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,948",599,291,179,22,765,321,254,0,"1,584",372,104,143
    Margin of Error,±341,±164,±120,±112,±34,±270,±174,±169,±12,±302,±158,±69,±192
Census Tract 812.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,094",611,238,110,13,886,220,106,0,597,132,47,52
    Margin of Error,±348,±147,±120,±76,±22,±348,±120,±70,±12,±131,±78,±41,±58
Census Tract 813; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,853",923,482,344,0,"1,116",287,117,107,"1,814",575,339,356
    Margin of Error,±476,±316,±310,±292,±17,±274,±123,±76,±124,±347,±224,±176,±255
Census Tract 814.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,530",277,130,32,0,402,159,64,11,851,339,186,213
    Margin of Error,±209,±76,±55,±31,±12,±108,±78,±38,±17,±197,±100,±78,±173
Census Tract 814.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,594",616,99,57,0,505,124,112,0,"2,473",963,692,147
    Margin of Error,±345,±241,±81,±63,±17,±216,±118,±115,±17,±334,±298,±244,±129
Census Tract 814.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"6,501",861,153,0,0,773,194,159,0,"4,867","2,282","1,411",93
    Margin of Error,±837,±523,±122,±17,±17,±301,±145,±134,±17,±773,±681,±552,±104
Census Tract 815; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,447","1,298",657,35,0,587,160,79,21,"1,562",511,294,131
    Margin of Error,±605,±605,±539,±54,±12,±221,±132,±75,±35,±316,±212,±172,±140
Census Tract 816; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,742",546,265,84,0,259,20,20,0,"1,937",507,209,57
    Margin of Error,±318,±168,±115,±59,±12,±141,±30,±30,±12,±301,±212,±140,±54
Census Tract 817; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,719",498,121,60,0,347,109,35,15,"2,874","1,021",565,0
    Margin of Error,±378,±160,±79,±56,±17,±147,±97,±36,±25,±404,±327,±275,±17
Census Tract 818; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"7,700","2,598",689,222,0,869,177,147,0,"4,233","1,350",603,238
    Margin of Error,±699,±555,±297,±212,±19,±351,±137,±133,±19,±692,±500,±401,±242
Census Tract 819; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,705,261,109,103,0,72,13,0,8,372,93,28,0
    Margin of Error,±192,±186,±159,±159,±12,±41,±14,±12,±11,±88,±54,±35,±12
Census Tract 901; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,427",906,151,82,0,393,83,69,12,128,14,0,71
    Margin of Error,±127,±173,±76,±67,±12,±105,±63,±60,±19,±71,±21,±12,±76
Census Tract 902; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,648","1,372",306,216,0,606,79,26,13,670,300,175,0
    Margin of Error,±256,±269,±187,±175,±17,±155,±53,±28,±21,±177,±141,±107,±17
Census Tract 903; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,523,304,95,33,11,128,11,11,0,91,41,19,0
    Margin of Error,±73,±68,±58,±25,±15,±45,±16,±16,±12,±46,±37,±23,±12
Census Tract 1001; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,134","1,098",327,189,0,590,206,102,0,446,205,58,31
    Margin of Error,±223,±264,±138,±144,±17,±180,±147,±111,±17,±167,±117,±54,±39
Census Tract 1002; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,830",991,174,27,0,824,124,43,0,"1,015",231,89,36
    Margin of Error,±218,±248,±93,±37,±17,±196,±76,±42,±17,±208,±134,±91,±42
Census Tract 1003; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,694",821,240,109,0,950,279,74,11,923,578,413,55
    Margin of Error,±264,±188,±106,±77,±17,±216,±161,±71,±19,±189,±185,±153,±53
Census Tract 1004; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,267",716,150,74,0,532,44,31,0,19,19,19,0
    Margin of Error,±144,±100,±77,±72,±12,±161,±44,±37,±12,±28,±28,±28,±12
Census Tract 1005; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,338","1,377",323,88,0,753,127,72,0,208,35,35,40
    Margin of Error,±354,±350,±122,±58,±17,±205,±91,±86,±17,±106,±48,±48,±42
Census Tract 1006; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,861","1,081",369,206,0,365,92,21,0,415,158,66,58
    Margin of Error,±165,±168,±115,±95,±12,±116,±60,±34,±12,±109,±95,±70,±69
Census Tract 1007; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,906","1,083",217,134,0,708,132,26,8,115,57,44,23
    Margin of Error,±163,±192,±126,±114,±17,±121,±69,±24,±12,±73,±56,±53,±35
Census Tract 1101; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,325","1,008",486,278,0,475,97,86,0,842,395,60,0
    Margin of Error,±375,±397,±386,±371,±17,±168,±88,±86,±17,±211,±195,±92,±17
Census Tract 1102; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,356",464,159,50,0,207,75,52,45,685,337,84,50
    Margin of Error,±282,±149,±100,±62,±12,±79,±43,±36,±39,±278,±254,±59,±39
Census Tract 1103; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,780","1,078",235,95,0,432,40,21,0,270,128,76,14
    Margin of Error,±183,±214,±91,±67,±17,±109,±37,±25,±17,±126,±82,±58,±21
Census Tract 1104; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,057",923,307,137,0,517,131,39,14,617,176,44,14
    Margin of Error,±167,±171,±122,±102,±12,±155,±107,±45,±22,±133,±88,±40,±20
Census Tract 1105.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,960",731,229,59,0,468,65,25,0,761,347,104,28
    Margin of Error,±252,±127,±103,±39,±17,±123,±37,±23,±17,±253,±115,±63,±34
Census Tract 1105.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,513",497,114,53,0,530,181,27,15,486,163,67,12
    Margin of Error,±232,±137,±53,±40,±12,±205,±179,±25,±18,±143,±83,±55,±18
Census Tract 1201; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,475",878,316,151,0,574,82,28,0,23,0,0,9
    Margin of Error,±157,±111,±101,±69,±12,±156,±42,±24,±12,±22,±12,±12,±13
Census Tract 1202; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,763",881,193,54,0,640,70,46,0,242,72,54,55
    Margin of Error,±156,±171,±76,±36,±12,±121,±47,±40,±12,±83,±52,±43,±64
Census Tract 1203; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,551","1,390",453,148,0,971,221,129,0,190,87,37,39
    Margin of Error,±252,±327,±258,±106,±17,±201,±132,±100,±17,±109,±80,±53,±45
Census Tract 1204; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,261",798,257,140,0,292,45,12,0,171,22,22,0
    Margin of Error,±172,±130,±95,±73,±12,±116,±43,±20,±12,±96,±25,±25,±12
Census Tract 1301; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,805",457,119,30,0,512,125,23,18,836,447,170,79
    Margin of Error,±225,±142,±83,±29,±12,±159,±83,±34,±23,±219,±230,±145,±68
Census Tract 1302; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,720,282,112,64,0,348,53,18,0,90,47,0,0
    Margin of Error,±276,±65,±47,±38,±12,±263,±41,±17,±12,±44,±33,±12,±12
Census Tract 1303; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,844",469,222,116,0,265,76,51,0,"1,110",390,169,53
    Margin of Error,±150,±113,±96,±91,±12,±85,±51,±41,±12,±145,±129,±79,±42
Census Tract 1401; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,211",326,138,104,0,36,0,0,0,849,314,170,32
    Margin of Error,±169,±139,±116,±114,±12,±30,±12,±12,±12,±168,±109,±90,±42
Census Tract 1402; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,036",595,326,98,0,98,0,0,0,"1,343",494,246,46
    Margin of Error,±261,±241,±238,±65,±17,±95,±17,±17,±17,±146,±146,±104,±58
Census Tract 1403.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,926,235,104,14,0,88,5,0,0,603,251,105,0
    Margin of Error,±131,±92,±54,±14,±12,±56,±8,±12,±12,±137,±91,±48,±12
Census Tract 1403.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,343",370,12,0,0,211,24,0,0,762,221,105,16
    Margin of Error,±193,±154,±19,±12,±12,±62,±21,±12,±12,±133,±103,±73,±27
Census Tract 1404; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,083",959,304,165,0,716,145,32,0,408,192,136,56
    Margin of Error,±243,±260,±131,±119,±17,±211,±119,±39,±17,±153,±119,±98,±76
Census Tract 1405; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,388",375,110,54,0,232,48,4,0,781,341,81,41
    Margin of Error,±175,±108,±91,±62,±12,±65,±45,±6,±12,±172,±178,±59,±39
Census Tract 1406.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,806,291,86,53,0,81,6,6,0,434,187,122,30
    Margin of Error,±104,±79,±55,±46,±12,±47,±10,±10,±12,±91,±73,±65,±31
Census Tract 1406.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,706",308,62,44,0,95,48,10,0,"1,303",482,279,66
    Margin of Error,±185,±82,±57,±54,±12,±56,±43,±15,±12,±178,±132,±133,±75
Census Tract 1407.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,036",341,68,38,0,128,15,15,0,567,181,45,19
    Margin of Error,±122,±100,±43,±35,±12,±64,±18,±18,±12,±120,±87,±38,±18
Census Tract 1407.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,090",443,95,55,0,257,55,19,0,"1,390",642,122,10
    Margin of Error,±246,±151,±50,±40,±17,±141,±49,±31,±17,±248,±198,±64,±16
Census Tract 1408; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,669",809,276,132,0,294,33,33,0,"1,566",452,169,20
    Margin of Error,±290,±160,±128,±97,±17,±91,±38,±38,±17,±321,±165,±87,±33
Census Tract 1502; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,829","1,132",385,215,0,488,84,58,0,"1,209",388,312,11
    Margin of Error,±309,±320,±169,±151,±17,±138,±77,±73,±17,±251,±149,±131,±16
Census Tract 1503; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"3,206","1,201",312,58,33,679,195,45,0,"1,326",382,161,0
    Margin of Error,±342,±241,±158,±54,±53,±171,±124,±69,±17,±334,±221,±136,±17
Census Tract 1504.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,794",665,215,66,0,423,139,134,0,706,238,149,35
    Margin of Error,±167,±155,±105,±60,±12,±130,±84,±83,±12,±174,±101,±88,±37
Census Tract 1504.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,355",495,75,35,0,321,37,37,0,539,166,101,55
    Margin of Error,±109,±112,±50,±34,±12,±94,±38,±38,±12,±119,±88,±72,±52
Census Tract 1505.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,523",817,161,72,0,337,33,12,0,369,77,60,52
    Margin of Error,±216,±194,±71,±51,±12,±109,±26,±19,±12,±112,±72,±69,±51
Census Tract 1505.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,525",513,92,21,0,520,200,50,12,492,305,118,11
    Margin of Error,±216,±146,±63,±27,±12,±182,±148,±59,±18,±148,±117,±72,±17
Census Tract 1506; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,414",636,244,55,0,304,42,34,0,474,183,120,42
    Margin of Error,±238,±120,±99,±46,±12,±94,±27,±22,±12,±200,±89,±81,±45
Census Tract 1507; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,423",703,189,137,0,309,19,0,0,411,221,116,0
    Margin of Error,±172,±142,±109,±94,±12,±96,±25,±12,±12,±178,±157,±140,±12
Census Tract 1508; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,709",988,427,290,0,245,15,15,0,476,168,68,32
    Margin of Error,±165,±212,±141,±125,±12,±103,±23,±23,±12,±152,±91,±49,±48
Census Tract 1510.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,887,299,61,11,0,206,57,33,0,382,196,119,27
    Margin of Error,±108,±99,±45,±13,±12,±68,±39,±25,±12,±88,±63,±50,±29
Census Tract 1510.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,648",499,111,42,0,231,32,21,0,918,508,194,25
    Margin of Error,±182,±135,±71,±47,±12,±101,±37,±33,±12,±190,±141,±96,±35
Census Tract 1511; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,850",525,100,11,0,410,176,51,17,915,341,186,0
    Margin of Error,±237,±130,±58,±17,±17,±137,±108,±50,±19,±229,±115,±99,±17
Census Tract 1512; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,303",716,234,70,7,360,73,10,0,227,170,57,19
    Margin of Error,±165,±169,±103,±58,±11,±138,±59,±15,±12,±96,±78,±45,±22
Census Tract 1601; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,999,487,209,157,0,190,0,0,0,322,147,88,0
    Margin of Error,±136,±135,±117,±112,±12,±91,±12,±12,±12,±101,±88,±85,±12
Census Tract 1602; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,321",663,131,79,0,256,19,19,0,402,103,29,61
    Margin of Error,±88,±147,±88,±75,±12,±79,±22,±22,±12,±106,±75,±33,±51
Census Tract 1603; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,792",423,118,42,0,328,74,34,27,"1,041",354,176,96
    Margin of Error,±225,±109,±71,±35,±12,±167,±61,±40,±42,±197,±128,±90,±83
Census Tract 1604; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,138",821,360,168,0,173,61,9,0,"1,144",434,235,15
    Margin of Error,±246,±228,±180,±86,±17,±78,±49,±16,±17,±195,±122,±125,±25
Census Tract 1605.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,410",451,121,49,0,68,12,0,0,891,327,102,28
    Margin of Error,±192,±130,±48,±39,±12,±43,±18,±12,±12,±203,±184,±75,±47
Census Tract 1605.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,560",519,164,128,0,198,67,59,0,843,376,195,0
    Margin of Error,±225,±112,±77,±71,±12,±85,±42,±41,±12,±219,±115,±114,±12
Census Tract 1606.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,522",580,262,158,0,158,53,22,0,784,258,57,14
    Margin of Error,±225,±149,±141,±111,±12,±87,±43,±28,±12,±204,±180,±53,±22
Census Tract 1606.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,578",715,220,53,0,161,90,13,0,702,253,167,12
    Margin of Error,±135,±153,±102,±34,±12,±74,±64,±20,±12,±148,±110,±83,±19
Census Tract 1607; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,532",970,372,94,0,303,46,21,0,"1,259",450,150,110
    Margin of Error,±442,±438,±407,±102,±17,±182,±53,±34,±17,±270,±211,±100,±108
Census Tract 1608; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,878",508,111,53,10,132,54,18,0,"1,238",485,362,22
    Margin of Error,±245,±123,±64,±42,±16,±59,±46,±14,±17,±275,±239,±217,±36
Census Tract 1609; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,037",471,97,52,0,211,62,27,0,355,91,47,35
    Margin of Error,±146,±114,±59,±51,±12,±88,±51,±31,±12,±104,±53,±32,±40
Census Tract 1610; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,823,289,99,38,0,121,10,8,0,413,85,36,13
    Margin of Error,±118,±65,±41,±26,±12,±49,±14,±12,±12,±106,±47,±31,±21
Census Tract 1611; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,750,463,74,31,0,91,0,0,0,196,69,37,17
    Margin of Error,±92,±80,±42,±20,±12,±36,±12,±12,±12,±66,±38,±33,±15
Census Tract 1612; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,089",435,154,81,0,205,19,13,29,449,208,131,31
    Margin of Error,±161,±115,±96,±86,±12,±78,±17,±14,±38,±148,±137,±114,±33
Census Tract 1613; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,577",426,225,108,0,187,35,0,0,964,538,186,87
    Margin of Error,±158,±176,±153,±86,±12,±82,±41,±12,±12,±156,±162,±98,±64
Census Tract 1701; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,085",415,169,69,0,500,271,194,0,170,113,55,0
    Margin of Error,±241,±102,±79,±43,±12,±252,±241,±233,±12,±100,±57,±29,±12
