GEOID,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
60949,188,64,16,6,0,51,8,5,2,73,13,5,22
60950,5073,2271,573,134,0,1293,149,55,7,1509,660,224,255
60951,336,160,33,18,16,119,9,9,0,57,22,22,5
60952,260,114,24,7,0,109,8,2,0,37,8,7,2
60953,905,345,114,63,0,364,36,11,11,196,73,23,24
60954,2222,774,145,71,0,906,148,71,0,542,197,98,33
60955,677,199,36,20,0,403,22,14,25,75,3,3,17
60956,40,15,3,0,0,15,2,2,1,10,1,0,2
60957,2363,1160,289,152,0,615,29,15,3,588,114,31,28
60958,651,176,109,71,0,273,80,65,0,202,88,52,26
60959,426,167,37,19,0,125,18,5,0,134,53,16,41
60960,302,140,44,2,2,79,3,2,0,83,33,6,22
60961,373,165,77,75,0,187,25,14,14,21,14,11,2
60962,224,66,18,7,0,94,26,11,0,64,26,22,33
60963,548,198,29,9,0,235,41,22,3,115,28,15,11
60964,1897,853,187,128,5,616,53,32,0,428,103,46,121
60966,722,224,48,5,0,292,35,2,0,206,75,24,8
