GEO_ID,ZCTA%5,NAME,Total,B25140_001M,Total Owned Units with a Mortgage,B25140_002M,Total Owned Units with a Mortgage (30-49%),B25140_003M,Total Owned Units with a Mortgage (50%+),B25140_004M,Total Owned Units with a Mortgage (Not Calculated),B25140_005M,Total Owned Units without a Mortgage,B25140_006M,Total Owned Units without a Mortgage (30-49%),B25140_007M,Total Owned Units without a Mortgage (50%+),B25140_008M,Total Owned Units without a Mortgage (Not Calculated),B25140_009M,Total Rented,B25140_010M,Total Rented (30-49%),B25140_011M,Total Rented (50%+),B25140_012M,Total Rented (Not Calculated),B25140_013M
860Z200US60202,60202,ZCTA5 60202,14024,451,5298,450,1557,312,750,226,23,26,2693,372,449,149,281,141,44,33,6033,543,2017,397,848,240,204,87
860Z200US60203,60203,ZCTA5 60203,1689,187,994,183,220,86,49,35,0,12,592,129,211,94,70,40,0,12,103,63,11,18,11,18,23,37
860Z200US60208,60208,ZCTA5 60208,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
860Z200US60301,60301,ZCTA5 60301,2087,255,251,112,42,52,12,20,0,12,116,77,13,21,13,21,0,12,1720,240,497,216,181,158,106,121
860Z200US60302,60302,ZCTA5 60302,14653,486,6283,385,1819,262,567,169,36,36,2837,372,414,203,152,121,79,96,5533,478,2425,359,1179,286,283,153
860Z200US60304,60304,ZCTA5 60304,6527,339,3411,298,771,155,290,107,0,19,1230,295,249,138,187,129,9,15,1886,202,654,166,368,115,93,66
860Z200US60305,60305,ZCTA5 60305,4275,241,2321,248,684,172,257,130,0,19,1485,260,495,179,256,155,14,22,469,308,291,284,62,44,65,102
860Z200US60401,60401,ZCTA5 60401,2885,220,1305,230,216,130,136,121,0,17,1144,223,191,102,94,71,19,30,436,200,140,103,45,44,14,23
860Z200US60402,60402,ZCTA5 60402,23143,790,9954,747,3446,617,1582,348,0,29,4874,578,1080,331,534,209,50,66,8315,768,3870,746,2014,467,604,216
860Z200US60403,60403,ZCTA5 60403,7651,369,3573,356,1000,283,562,225,24,37,1642,300,206,90,87,62,137,211,2436,325,1028,246,614,218,118,104
